indicator_name,indicator_bin,applicability
Indicator 1: Ship-Board Oceanographic Monitoring,Environmental Representativity,all
Indicator 2: Satellite-Based Oceanographic Monitoring,Environmental Representativity,all
Indicator 3: Meteorological Monitoring,Environmental Representativity,all
Indicator 4: Ice cover,Environmental Representativity; Structure and Function; Threats to Habitat; Key Fish Habitat,coastal
"Indicator 5: Fluxes across the MPA boundaries, excluding nekton",Structure and Function; Connectivity,all
Indicator 6: Bentho-pelagic exchanges,Structure and Function; Connectivity,all
Indicator 7: Primary Production,Biomass Metrics; Structure and Function,all
Indicator 8: Mesozooplankton,Species Diversity; Connectivity,all
Indicator 9: Harmful algae,Threats to Productivity; Threats to Habitat,coastal
Indicator 10: Representative Benthic Environments in the MPA,Environmental Representativity,all
Indicator 11: Comparable Benthic Environments outside the MPA,Environmental Representativity,all
Indicator 12: Distinctive Benthic Features in the MPA,Uniqueness,all
Indicator 13: Spatial extent of distinctive benthic features,Uniqueness,all
Indicator 14: Population-wide resource status,Biomass Metrics; Species Diversity; Functional Diversity,all
Indicator 15: Trawl-vulnerable groundfish,Biomass Metrics; Species Diversity; Functional Diversity,offshore
Indicator 17: Mesopelagic nekton,Species Diversity; Structure and Function,all
Indicators 18: Comparable groundfish (trawl),Biomass Metrics; Species Diversity; Functional Diversity,offshore
Indicators 19: Comparable groundfish (longline),Biomass Metrics; Species Diversity; Functional Diversity,all
Indicator 20: Wolffish in Sub-Tidal Zone,Species Diversity,all
Indicator 21: Fluxes of nekton across the boundaries of the MPA,Connectivity,all
"Indicator 22: Mammal, bird and reptile surveys",Species Diversity; Biomass Metrics; Genetic Diversity; Functional Diversity,all
Indicator 23: Cetacean activity,Species Diversity; Functional Diversity,all
Indicator 24: Seal breeding,Key Fish Habitat,coastal
Indicator 25: Seabird nesting,Key Fish Habitat,coastal
Indicator 26: Trophic relationships,Structure and Function,all
Indicator 27: Ecosystem function,Structure and Function,all
"1. Abundance of the Scotian Shelf population of northern bottlenose whales (including all members of the population, whether in The Gully or not)",Species Diversity; Biomass Metrics,gully
"2. Use of the Gully MPA by bottlenose whales, measured as the percentage of the Scotian Shelf population within the Gully MPA",Species Diversity,gully
"3. Size, age and sex structure of the Scotian Shelf bottlenose population",Biomass Metrics; Species Diversity,gully
4. Percentage of individuals in the Scotian Shelf bottlenose population showing fresh scars,Threats to Habitat,gully
5. Genetic Diversity within the Scotian Shelf bottlenose population,Genetic Diversity,gully
6. Levels of contaminants in the blubber of individuals in the Scotian Shelf bottlenose population,Threats to Habitat,gully
7. Relative abundances of cetaceans (other than northern bottlenose whales) in the Gully MPA,Biomass Metrics; Species Diversity,all
"8. Cetacean presence and activity in the MPA, year-round",Species Diversity,all
9. Number of reported strandings of Scotian Shelf bottlenose whales,Threats to Habitat,gully
10. Number of reported ship strikes on cetaceans in or near the Gully and of strikes on Scotian Shelf bottlenose whales elsewhere,Threats to Habitat,all
11. Number of reported gear entanglements of cetaceans in or near the Gully and of entanglements of Scotian Shelf bottlenose whales elsewhere,Threats to Habitat,all
12. Number of reports of other interactions between human activities and cetaceans in or near the Gully and of interactions with Scotian Shelf bottlenose whales elsewhere,Threats to Habitat,all
